Country/Region,Province/State,time,temperatureMin,temperatureMax
Argentina,,2020-01-04,67.34,88.06
Argentina,,2020-01-05,59.69,88.22
Argentina,,2020-01-06,58.34,78.46
Argentina,,2020-01-07,59.01,90.23
Argentina,,2020-01-08,65.12,85.87
Argentina,,2020-01-09,58.4,84.12
Argentina,,2020-01-10,60.76,82.73
Argentina,,2020-01-11,57.01,93.35
Argentina,,2020-01-12,59.79,94.1
Argentina,,2020-01-13,67.76,81.06
Argentina,,2020-01-14,66.82,98.59
Argentina,,2020-01-15,61.16,79.25
Argentina,,2020-01-16,49.78,80.34
Argentina,,2020-01-17,51.4,90.97
Argentina,,2020-01-18,65.66,98.3
Argentina,,2020-01-19,71.6,103.7
Argentina,,2020-01-20,66.68,96.01
Argentina,,2020-01-21,63.43,93.08
Argentina,,2020-01-22,63.41,99.02
Argentina,,2020-01-23,72.19,100.93
Argentina,,2020-01-24,69.47,91.49
Argentina,,2020-01-25,67.47,90.84
Argentina,,2020-01-26,64.59,85.84
Argentina,,2020-01-27,50.88,88.2
Argentina,,2020-01-28,68.06,93.15
Argentina,,2020-01-29,56.18,83.06
Argentina,,2020-01-30,55.82,94.24
Argentina,,2020-01-31,69.03,96.37
Argentina,,2020-02-01,66.09,103.13
Argentina,,2020-02-02,68.41,94.3
Argentina,,2020-02-03,67.72,96.67
Argentina,,2020-02-04,64.43,79.18
Argentina,,2020-02-05,58.72,85.46
Argentina,,2020-02-06,65.66,78.57
Argentina,,2020-02-07,59.59,84.54
Argentina,,2020-02-08,62.45,81.23
Argentina,,2020-02-09,51.85,81.11
Argentina,,2020-02-10,53.69,87.22
Argentina,,2020-02-11,61.78,89.77
Argentina,,2020-02-12,68.98,96.7
Argentina,,2020-02-13,62.95,79.07
Argentina,,2020-02-14,56.16,89.18
Argentina,,2020-02-15,62.47,95.61
Argentina,,2020-02-16,62.66,93.06
Argentina,,2020-02-17,64.13,79.98
Argentina,,2020-02-18,52.0,86.66
Argentina,,2020-02-19,59.0,78.04
Argentina,,2020-02-20,46.21,76.13
Argentina,,2020-02-21,46.56,76.4
Argentina,,2020-02-22,45.8,84.37
Argentina,,2020-02-23,56.41,91.92
Argentina,,2020-02-24,60.72,81.35
Argentina,,2020-02-25,52.18,80.96
Argentina,,2020-02-26,52.33,91.82
Argentina,,2020-02-27,57.78,95.13
Argentina,,2020-02-28,59.3,94.23
Argentina,,2020-02-29,59.84,96.0
